Date,trades_count,avg_size_usd,win_rate,ls_ratio,date,value,classification
2023-05-01,3,159.0,,0.0,2023-05-01,63,Greed
2023-12-05,9,5556.203333333334,,0.0,2023-12-05,75,Extreme Greed
2023-12-14,11,10291.213636363636,0.6666666666666666,0.0,2023-12-14,72,Greed
2023-12-15,2,5304.975,0.0,0.0,2023-12-15,70,Greed
2023-12-16,3,5116.256666666667,,0.0,2023-12-16,67,Greed
2023-12-17,14,8305.572857142857,0.6363636363636364,0.0,2023-12-17,73,Greed
2023-12-18,2,15582.089999999998,,0.0,2023-12-18,65,Greed
2023-12-19,15,6106.827333333334,1.0,0.0,2023-12-19,73,Greed
2023-12-20,18,7868.710555555556,1.0,0.0,2023-12-20,74,Greed
2023-12-21,49,2555.795306122449,0.9629629629629629,0.0,2023-12-21,70,Greed
2023-12-22,10,8887.428,1.0,0.0,2023-12-22,74,Greed
2023-12-23,13,6033.711538461538,1.0,0.0,2023-12-23,70,Greed
2023-12-24,39,10332.177948717948,0.8823529411764706,0.0,2023-12-24,71,Greed
2023-12-25,3,19982.836666666666,0.0,0.0,2023-12-25,73,Greed
2023-12-27,28,6121.823571428571,0.3076923076923077,0.0,2023-12-27,73,Greed
2023-12-28,23,4352.923913043478,0.0,0.0,2023-12-28,73,Greed
2023-12-29,50,11391.1944,0.75,0.0,2023-12-29,65,Greed
2023-12-30,52,13510.58096153846,0.696969696969697,0.0,2023-12-30,68,Greed
2024-01-01,18,14679.973888888888,0.16666666666666666,0.0,2024-01-01,65,Greed
2024-01-02,17,7138.1611764705885,0.8888888888888888,0.0,2024-01-02,71,Greed
2024-01-03,67,5888.050149253731,0.8,0.0,2024-01-03,70,Greed
2024-01-04,5,19958.508,0.0,0.0,2024-01-04,68,Greed
2024-01-05,66,25817.31303030303,0.5652173913043478,0.0,2024-01-05,72,Greed
2024-01-06,22,13569.154545454547,0.8333333333333334,0.0,2024-01-06,70,Greed
2024-01-07,97,10812.887216494846,0.24324324324324326,0.0,2024-01-07,71,Greed
2024-01-08,128,11894.159609375,0.47761194029850745,0.0,2024-01-08,71,Greed
2024-01-09,70,12429.313857142857,0.6428571428571429,0.0,2024-01-09,76,Extreme Greed
2024-01-10,193,10660.515440414507,0.4939759036144578,0.0,2024-01-10,73,Greed
2024-01-11,21,14538.766666666666,0.5555555555555556,0.0,2024-01-11,76,Extreme Greed
2024-01-12,7,28583.181428571428,0.0,0.0,2024-01-12,71,Greed
2024-01-15,14,3616.8642857142854,1.0,0.0,2024-01-15,52,Neutral
2024-01-16,9,12936.37,0.6,0.0,2024-01-16,64,Greed
2024-01-17,53,15110.019433962265,0.5789473684210527,0.0,2024-01-17,60,Greed
2024-01-18,46,9231.120217391304,0.3333333333333333,0.0,2024-01-18,63,Greed
2024-01-19,48,8925.603541666665,0.2222222222222222,0.0,2024-01-19,51,Neutral
2024-01-20,106,10095.193490566038,0.46875,0.0,2024-01-20,52,Neutral
2024-01-21,11,9375.43090909091,0.6,0.0,2024-01-21,56,Greed
2024-01-22,85,3975.0469411764707,0.5609756097560976,0.0,2024-01-22,55,Greed
2024-01-23,45,9211.531777777778,0.55,0.0,2024-01-23,50,Neutral
2024-01-24,68,14192.42044117647,0.25,0.0,2024-01-24,48,Neutral
2024-01-25,6,11094.355000000001,0.0,0.0,2024-01-25,52,Neutral
2024-01-26,5,2354.642,1.0,0.0,2024-01-26,49,Neutral
2024-01-28,11,1646.2754545454545,0.0,0.0,2024-01-28,54,Neutral
2024-01-29,74,5597.407837837838,1.0,0.0,2024-01-29,55,Greed
2024-01-30,49,8183.905714285715,0.2631578947368421,0.0,2024-01-30,61,Greed
2024-01-31,859,7340.683504074505,0.5298165137614679,0.0,2024-01-31,60,Greed
2024-02-01,6,334.69666666666666,,0.0,2024-02-01,63,Greed
2024-02-02,42,11292.343571428572,0.6190476190476191,0.0,2024-02-02,63,Greed
2024-02-03,56,10782.5,0.5,0.0,2024-02-03,60,Greed
2024-02-04,35,5805.358,0.32142857142857145,0.0,2024-02-04,60,Greed
2024-02-05,72,10697.198055555556,0.4375,0.0,2024-02-05,60,Greed
2024-02-06,1088,7396.280707720588,0.3422562141491396,0.0,2024-02-06,64,Greed
2024-02-07,15,450.582,1.0,0.0,2024-02-07,62,Greed
2024-02-08,10,2605.112,1.0,0.0,2024-02-08,66,Greed
2024-02-11,34,6244.465294117647,1.0,0.0,2024-02-11,71,Greed
2024-02-12,16,14202.981249999999,0.4,0.0,2024-02-12,70,Greed
2024-02-13,14,142.85642857142858,1.0,0.0,2024-02-13,79,Extreme Greed
2024-02-14,111,2890.4493693693694,0.9880952380952381,0.0,2024-02-14,74,Greed
2024-02-15,63,2939.4926984126987,0.95,0.0,2024-02-15,72,Greed
2024-02-16,182,3103.826978021978,1.0,0.0,2024-02-16,72,Greed
2024-02-17,94,4320.405,0.9384615384615385,0.0,2024-02-17,76,Extreme Greed
2024-02-18,97,1619.0532989690723,0.8970588235294118,0.0,2024-02-18,72,Greed
2024-02-19,101,2835.417821782178,0.9746835443037974,0.0,2024-02-19,75,Extreme Greed
2024-02-20,39,3062.0441025641026,0.96875,0.0,2024-02-20,72,Greed
2024-02-21,22,4911.250909090909,1.0,0.0,2024-02-21,78,Extreme Greed
2024-02-22,88,4239.02125,0.7407407407407407,0.0,2024-02-22,74,Greed
2024-02-23,143,776.966013986014,0.9927536231884058,0.0,2024-02-23,76,Extreme Greed
2024-02-25,5,896.0260000000001,0.0,0.0,2024-02-25,74,Greed
2024-02-26,39,4927.875384615385,1.0,0.0,2024-02-26,72,Greed
2024-02-27,63,3323.2111111111108,0.6190476190476191,0.0,2024-02-27,79,Extreme Greed
2024-02-28,45,3802.380666666667,1.0,0.0,2024-02-28,82,Extreme Greed
2024-02-29,116,3410.9200862068965,1.0,0.0,2024-02-29,80,Extreme Greed
2024-03-01,137,3452.370072992701,1.0,0.0,2024-03-01,80,Extreme Greed
2024-03-02,31,2038.6309677419354,0.75,0.0,2024-03-02,80,Extreme Greed
2024-03-03,79,4946.1478481012655,1.0,0.0,2024-03-03,83,Extreme Greed
2024-03-04,300,5259.989566666667,0.9851851851851852,0.0,2024-03-04,82,Extreme Greed
2024-03-05,180,4676.724,1.0,0.0,2024-03-05,90,Extreme Greed
2024-03-06,82,3990.4636585365856,1.0,0.0,2024-03-06,75,Extreme Greed
2024-03-08,67,2740.047462686567,1.0,0.0,2024-03-08,81,Extreme Greed
2024-03-09,117,5625.459401709401,0.9065420560747663,0.0,2024-03-09,84,Extreme Greed
2024-03-10,42,5237.472619047619,0.7631578947368421,0.0,2024-03-10,79,Extreme Greed
2024-03-11,42,4202.844047619047,1.0,0.0,2024-03-11,82,Extreme Greed
2024-03-12,8,12880.10625,1.0,0.0,2024-03-12,81,Extreme Greed
2024-03-13,7,857.2571428571428,,0.0,2024-03-13,81,Extreme Greed
2024-03-14,18,11440.732222222221,1.0,0.0,2024-03-14,88,Extreme Greed
2024-03-15,62,5675.71629032258,1.0,0.0,2024-03-15,83,Extreme Greed
2024-03-16,8,4652.9575,1.0,0.0,2024-03-16,81,Extreme Greed
2024-03-17,23,4326.389130434783,1.0,0.0,2024-03-17,79,Extreme Greed
2024-03-18,19,4760.951578947369,1.0,0.0,2024-03-18,77,Extreme Greed
2024-03-19,24,9161.868333333334,0.7142857142857143,0.0,2024-03-19,79,Extreme Greed
2024-03-20,69,3126.171739130435,1.0,0.0,2024-03-20,74,Greed
2024-03-21,28,4210.556071428572,1.0,0.0,2024-03-21,78,Extreme Greed
2024-03-24,19,4873.274210526315,1.0,0.0,2024-03-24,74,Greed
2024-03-25,7,8159.4742857142855,1.0,0.0,2024-03-25,75,Extreme Greed
2024-03-26,118,1682.7558474576272,1.0,0.0,2024-03-26,81,Extreme Greed
2024-03-27,38,2628.020789473684,0.631578947368421,0.0,2024-03-27,83,Extreme Greed
2024-03-28,13,2717.209230769231,1.0,0.0,2024-03-28,80,Extreme Greed
2024-03-29,15,5794.291333333333,1.0,0.0,2024-03-29,79,Extreme Greed
2024-03-30,45,2246.753777777778,1.0,0.0,2024-03-30,75,Extreme Greed
